word,av.distance,overlap ex 1,overlap ex 2,age,child p or d,tokens,semantic class
cute,1.0,0,0,4,directed,8,other
chinese,1.0,0,0,4,directed,1,other
less,0.0,0,0,4,directed,1,other
slime,0.0,0,0,4,directed,1,physical
yellow,0.0,1,1,4,directed,2,color
front,0.0,0,0,4,directed,1,other
bright,1.0,0,0,4,directed,1,other
skin,0.0,0,0,4,directed,4,other
slow,0.0,0,1,4,directed,1,other
just,0.6666666666666666,0,0,4,directed,6,other
young,0.0,0,1,4,directed,1,age
late,1.0,0,0,4,directed,3,other
jam,0.0,0,0,4,directed,1,other
black,0.0,0,1,4,directed,2,color
pretty,0.9473684210526315,0,0,4,directed,19,other
orange,0.4,0,0,4,directed,5,color
east,0.0,0,0,4,directed,1,other
smart,0.0,0,0,4,directed,3,other
real,1.0,0,0,4,directed,15,other
brown,0.0,1,0,4,directed,3,color
good,0.3,1,0,4,directed,20,value
big,0.7,1,0,4,directed,50,dimension
fat,0.0,0,0,4,directed,6,dimension
awful,1.0,0,0,4,directed,3,value
bit,0.0,0,0,4,directed,1,other
silver,0.0,0,0,4,directed,1,color
cool,0.3333333333333333,0,0,4,directed,3,other
fluff,0.0,0,0,4,directed,2,other
correct,1.0,0,0,4,directed,1,other
bad,0.0,1,0,4,directed,6,value
small,1.0,1,0,4,directed,4,dimension
soft,0.3333333333333333,1,0,4,directed,3,physical
mean,1.0,0,0,4,directed,2,other
heavy,1.0,0,0,4,directed,1,other
square,0.0,1,1,4,directed,1,shape
old,0.42857142857142855,1,1,4,directed,7,age
chunk,1.0,0,0,4,directed,1,other
hard,0.0,1,0,4,directed,1,physical
back,0.0,0,0,4,directed,2,other
dead,0.0,0,0,4,directed,1,age
dumb,0.0,0,0,4,directed,1,other
dear,1.0,0,0,4,directed,1,other
special,1.0,0,0,4,directed,1,other
blue,0.5,1,1,4,directed,6,color
purple,0.0,1,1,4,directed,1,color
crust,0.0,0,0,4,directed,2,other
jolly,1.0,0,0,4,directed,3,other
teeny,0.6666666666666666,0,0,4,directed,3,dimension
rotten,0.5,1,0,4,directed,2,age
health,0.0,0,0,4,directed,1,other
new,0.25,1,1,4,directed,8,age
bird,0.0,0,0,4,directed,1,other
red,0.16666666666666666,1,1,4,directed,6,color
dirt,1.0,0,0,4,directed,1,other
wild,0.0,0,0,4,directed,1,other
busy,1.0,0,0,4,directed,1,other
strong,0.0,0,0,4,directed,3,other
shine,0.25,0,0,4,directed,4,other
great,0.9,0,0,4,directed,10,value
central,0.0,0,0,4,directed,1,other
quiet,0.0,0,0,4,directed,1,other
american,0.5,0,0,4,directed,2,other
loud,0.0,0,0,4,directed,1,other
first,0.0,0,0,4,directed,1,other
cheese,0.6666666666666666,0,0,4,directed,3,other
naughty,1.0,0,0,4,directed,1,other
love,1.0,0,0,4,directed,2,other
fancy,0.0,0,0,4,directed,1,other
brave,1.0,0,0,4,directed,1,other
long,0.25,1,1,4,directed,16,dimension
thick,0.0,0,1,4,directed,2,dimension
little,0.31313131313131315,0,0,4,directed,99,dimension
wobble,0.0,0,0,4,directed,1,other
tiny,0.5,1,0,4,directed,16,dimension
plastic,0.0,1,0,4,directed,1,material
live,0.6,0,0,4,directed,5,other
shiver,1.0,0,0,4,directed,2,other
white,0.2,0,1,4,directed,5,color
happy,1.0,0,0,4,directed,1,other
flat,0.0,0,0,4,directed,1,dimension
yuck,0.0,0,0,4,directed,2,other
tawny,0.0,0,0,4,directed,1,color
brand,1.0,0,0,4,directed,5,other
warm,0.0,0,0,4,directed,5,other
crank,0.0,0,0,4,directed,1,other
western,0.0,0,0,4,directed,1,other
last,0.0,0,1,4,directed,6,other
gold,0.0,0,1,4,directed,1,color
glitzy,1.0,0,0,4,directed,1,other
chatter,0.0,0,0,4,directed,2,other
funk,0.0,0,0,4,directed,2,other
fleece,0.0,0,0,4,directed,1,other
wool,0.0,0,0,4,directed,1,material
gentle,0.0,0,0,4,directed,1,other
double,0.0,0,0,4,directed,1,other
pretend,0.0,0,0,4,directed,1,other
grey,0.5,0,0,4,directed,2,color
silly,0.0,0,0,4,directed,1,other
thin,0.0,0,1,4,directed,3,dimension
fun,0.8571428571428571,0,0,4,directed,7,other
glottal,0.0,0,0,4,directed,1,other
beautiful,0.6666666666666666,0,0,4,directed,6,other
sad,0.5,0,1,4,directed,2,other
juice,0.0,0,0,4,directed,1,other
right,1.0,0,0,4,directed,1,other
sharp,0.0,0,0,4,directed,1,physical
craze,1.0,0,0,4,directed,1,other
huge,0.5,1,0,4,directed,2,dimension
itsy,1.0,0,0,4,directed,1,dimension
cross,0.0,0,0,4,directed,1,other
same,1.0,0,0,4,directed,5,other
hot,0.4,0,0,4,directed,5,other
sick,1.0,0,0,4,directed,1,other
grand,1.0,0,0,4,directed,1,value
soap,0.0,0,0,4,directed,1,other
nice,1.0,0,0,4,directed,33,value
poor,1.0,0,0,4,directed,11,value
okay,1.0,0,0,4,directed,1,value
sneak,1.0,0,0,4,directed,1,other
wrong,1.0,0,0,4,directed,2,other
misshapen,0.0,0,0,4,directed,1,shape
bitsy,0.0,0,0,4,directed,1,dimension
stripe,0.0,0,0,4,directed,1,other
tall,0.7142857142857143,0,0,4,directed,7,dimension
short,0.5,1,0,4,directed,2,dimension
natural,0.0,0,0,4,directed,1,other
light,0.6666666666666666,0,0,4,directed,3,other
clear,0.0,0,0,4,directed,2,other
cheek,1.0,0,0,4,directed,6,other
craft,1.0,0,0,4,directed,1,other
green,0.09090909090909091,1,1,4,directed,11,color
clean,0.0,0,0,4,directed,3,other
english,0.3333333333333333,0,1,4,directed,3,other
alright,0.6666666666666666,0,0,4,directed,3,value
fresh,1.0,1,0,4,directed,2,age
left,0.0,0,0,4,directed,1,other
weeny,0.0,0,0,4,directed,1,dimension
cute,0.0,0,0,4,produced,1,other
naughty,0.0,0,0,4,produced,1,other
old,0.06666666666666667,1,1,4,produced,15,age
ole,0.0,0,0,4,produced,1,age
just,1.0,0,0,4,produced,1,other
cheese,0.0,0,0,4,produced,1,other
sweet,0.0,0,1,4,produced,5,other
back,0.0,0,0,4,produced,1,other
yellow,0.3333333333333333,1,1,4,produced,3,color
cross,0.0,0,0,4,produced,1,other
blue,1.0,1,1,4,produced,2,color
awful,1.0,0,0,4,produced,1,value
bright,0.0,0,0,4,produced,2,other
right,0.0,0,0,4,produced,1,other
through,0.0,0,0,4,produced,1,other
tiny,0.0,1,0,4,produced,9,dimension
dear,1.0,0,0,4,produced,1,other
sharp,0.0,0,0,4,produced,1,physical
next,0.0,0,0,4,produced,1,other
open,0.0,0,1,4,produced,1,other
special,1.0,0,0,4,produced,2,other
pink,0.0,0,0,4,produced,1,color
teeny,0.2,0,0,4,produced,5,dimension
little,0.5681818181818182,0,0,4,produced,44,dimension
busy,0.6666666666666666,0,0,4,produced,3,other
lemon,0.0,0,0,4,produced,1,other
nice,0.875,0,0,4,produced,16,value
tough,0.0,0,0,4,produced,1,other
wobble,0.0,0,0,4,produced,1,other
royal,0.0,0,0,4,produced,1,other
slick,1.0,0,0,4,produced,1,other
long,0.0,1,1,4,produced,4,dimension
jolly,1.0,0,0,4,produced,2,other
late,1.0,0,0,4,produced,1,other
live,1.0,0,0,4,produced,2,other
quiet,0.0,0,0,4,produced,1,other
black,0.0,0,1,4,produced,1,color
wide,1.0,0,0,4,produced,1,dimension
new,0.25,1,1,4,produced,4,age
cool,1.0,0,0,4,produced,1,other
snuggle,0.0,0,0,4,produced,1,other
soap,0.0,0,0,4,produced,1,other
red,0.14285714285714285,1,1,4,produced,7,color
wicked,1.0,0,0,4,produced,2,other
poor,1.0,0,0,4,produced,3,value
brown,0.2,1,0,4,produced,5,color
head,0.0,0,0,4,produced,1,other
good,0.3333333333333333,1,0,4,produced,3,value
crash,1.0,0,0,4,produced,1,other
dirt,0.75,0,0,4,produced,4,other
big,0.8478260869565217,1,0,4,produced,46,dimension
brand,1.0,0,0,4,produced,3,other
frost,0.0,0,0,4,produced,1,other
fun,0.0,0,0,4,produced,1,other
fat,0.0,0,0,4,produced,4,dimension
boss,0.0,0,0,4,produced,1,other
wild,0.0,0,0,4,produced,1,other
spare,0.0,0,0,4,produced,1,other
french,0.0,0,0,4,produced,1,other
same,1.0,0,0,4,produced,1,other
own,1.0,0,0,4,produced,3,other
quick,0.0,0,0,4,produced,1,other
strong,0.0,0,0,4,produced,2,other
dead,0.5,0,0,4,produced,2,age
real,1.0,0,0,4,produced,8,other
gray,0.0,0,0,4,produced,1,color
great,0.5,0,0,4,produced,4,value
last,0.0,0,1,4,produced,1,other
round,0.0,1,0,4,produced,1,shape
even,1.0,0,0,4,produced,1,other
smell,0.6666666666666666,0,0,4,produced,3,other
rowdy,1.0,0,0,4,produced,1,other
grey,0.0,0,0,4,produced,1,color
hot,0.3333333333333333,0,0,4,produced,3,other
large,0.0,0,1,4,produced,1,dimension
ugly,0.0,0,0,4,produced,1,other
bad,0.5,1,0,4,produced,14,value
stupid,1.0,0,0,4,produced,2,other
green,0.0,1,1,4,produced,4,color
light,1.0,0,0,4,produced,2,other
small,1.0,1,0,4,produced,1,dimension
happy,0.0,0,0,4,produced,2,other
loud,0.0,0,0,4,produced,1,other
undercover,0.0,0,0,4,produced,2,other
mean,1.0,0,0,4,produced,1,other
