workerid,trial_type,justification,response,condition
0,one_slider_practice,Yes.     The smurf paid for and bought 2 cars.,0.81,NA
0,one_slider_practice,One of the dogs did not jump on the table.,0.05,NA
0,one_slider,"Both statements are technically true, but the second is slightly misleading.",0.79,cond2
0,one_slider,Only two hippos drank milk.,0.06,cond1
0,one_slider,"The statement is technically true, but also misleading.",0.9,cond1
0,one_slider,"One of the dogs rolled a ball, so the sentence is wrong.",0.06,cond2
0,one_slider,Two of the four lions did not buy a cookie.  The statement is correct.,0.93,cond3
0,one_slider,Only two of the lizards climbed on the book.,0.07,cond4
0,one_slider,"The statement is technically correct, but it&quotechars also misleading.",0.89,cond2
1,one_slider_practice,He bought one white car and one yellow car.,0.99,NA
1,one_slider_practice," The third dog was too small to jump on the table.
",0.02,NA
1,one_slider, The smaller frog couldn&quotechart jump high enough.,0.98,cond1
1,one_slider, There were only two hippos.,0.01,cond2
1,one_slider, The second butterfly only left and went to the city.,0.99,cond2
1,one_slider, Only the first dog rolled the ball.,0.02,cond3
1,one_slider, Two out of four lions did buy an egg and the same two bought a cookie.,1,cond4
1,one_slider, Two thought the book too high to jump upon.,0.03,cond4
1,one_slider," Only one ate a bug.
",0.99,cond1
2,one_slider_practice,The smurf bought 2 cars.,0.98,NA
2,one_slider_practice,The 3rd dog was too small to jump on the table,0.01,NA
2,one_slider,The 2nd little frog did not jump over the rock.,0.98,cond2
2,one_slider,Only two hippos drank milk,0,cond4
2,one_slider,Only one butterfly went to the city. ,0.98,cond2
2,one_slider,The first dog did roll the ball. ,0.03,cond2
2,one_slider,"One lion didn&quotechart buy a cookie, one lion did. ",0.41,cond1
2,one_slider,Only 2 lizards climbed on the book. ,0.03,cond1
2,one_slider,2 dinosaurs ate a bug but only one ate a fish. ,0.74,cond2
3,one_slider_practice,He bought one car for 2 pennies and then bought the second for two more pennies.,0.98,NA
3,one_slider_practice,"The first two dogs jumped on the table, but the third said it was too small and did not jump on the table.",0.02,NA
3,one_slider,"The puppet was right, but two other frogs jumped over the fence and two other frogs jumped over the rock",0.88,cond4
3,one_slider,There were only two hippos featured and they both drank milk,0,cond4
3,one_slider,The one butterfly went to the forest the day before and not the city. The other butterfly did not go to the city.,0.99,cond1
3,one_slider,The first dog did roll his ball across the table.,0,cond4
3,one_slider,"Two lions bought a cookie, but the other two lions did not.",0.99,cond3
3,one_slider,Only two lizards climbed on the book. The other two did not.,0,cond4
3,one_slider,"Two dinosaurs ate bugs, but the other two did not because they didn&quotechart like bugs.",1,cond3
4,one_slider_practice,The smurf bought a yellow and red car.,0.92,NA
4,one_slider_practice,The smallest dog did not jump on the table.,0,NA
4,one_slider,2 frogs jumped the fence but the smaller frog did not jump the rock.,0.98,cond2
4,one_slider,2 hippos drank milk.,0.03,cond1
4,one_slider,2 butterflies went to forest but 2 went to city. The final statement is oddly phased.,0.04,cond4
4,one_slider,One dog did roll their ball.,0.01,cond4
4,one_slider,4 lions bought eggs. 2 lions bought a cookie.,0.07,cond4
4,one_slider,2 lizards climbed on the book.,0.02,cond3
4,one_slider,Neither dinosaur eat bugs.,0.92,cond1
5,one_slider_practice,convertible and yellow car were bought for 2 pennies each,0.99,NA
5,one_slider_practice,the small dog did not jump,0.02,NA
5,one_slider,the big one did jump,0,cond1
5,one_slider,there were only 2,0.02,cond4
5,one_slider,only one butterfly went to the city,0.98,cond2
5,one_slider,the first one did roll their ball,0.02,cond4
5,one_slider,two did and two didn&quotechart,0.98,cond3
5,one_slider,only two jumped,0,cond3
5,one_slider,one did eat a bug,0.02,cond1
6,one_slider_practice,"Brainy Smurf bought two cars, a silver and yellow one, for two cents each, according to the scenario.",0.99,NA
6,one_slider_practice,"According to the scenario, the last dog did not jump on the table because he was too small. ",0,NA
6,one_slider,"According to the scenario, all four frogs jumped over the fence; however, only two jumped over the rock. ",0,cond4
6,one_slider,"According to the scenario, only two hippos were thirsty and drank milk, not three. ",0,cond3
6,one_slider,"The puppet is somewhat wrong; all four butterflies did to to the forrest, but only two actually stayed there. The two that did not went to the city. ",0.11,cond4
6,one_slider,"According to the scenario, one dog did roll its dog on the table, while the other one did not. ",0.01,cond2
6,one_slider,"According to the scenario, of the four lions, two did purchase a cookie because they liked cookies; the other two did not, as they did not like cookies. ",0.99,cond3
6,one_slider,"According to the scenario, only two lizards hopped on top of the book, while the other two did not attempt to. ",0.02,cond4
6,one_slider,"According to the scenario, all of the dinosaurs each ate a fish; two were still hungry and ate bugs, while the other two refrained. ",0.01,cond4
7,one_slider_practice,"They did buy two cars, so its correct. With one penny left over.",1,NA
7,one_slider_practice,One dog was too small so did not.,0.02,NA
7,one_slider,"One frog was too small so didn&quotechart jump over the rock, leaving only one.",0.98,cond2
7,one_slider,Only two hippos drank milk.,0,cond4
7,one_slider,They both went to both places.,0,cond4
7,one_slider,One dog rolled their ball while the other was afraid it would fall off the table.,0.01,cond4
7,one_slider,"Only one lion bought a cookie, the other was presumably watching his weight and only took an egg.",0.99,cond2
7,one_slider,They did not all climb on the book.,0.25,cond1
7,one_slider,"Two dinosaurs didn&quotechart eat bugs, but all four ate fish which makes it only partially correct but mostly incorrect.",0.31,cond4
8,one_slider_practice,smurf only brought one.,0.18,NA
8,one_slider_practice,the last dog decided not too jump.,0,NA
8,one_slider,the last two did not jump over the rock.,0.85,cond4
8,one_slider,only two hippos drunk it.,0,cond4
8,one_slider,one didn&quotechart like the forest so it went over to the city while the other one.,0.99,cond2
8,one_slider,only one rolled it.,0,cond1
8,one_slider,the two lions didn&quotechart buy it because they did not like them.,1,cond3
8,one_slider,only two climbed on the book. the other two decided it was too high to climb.,0,cond2
8,one_slider,the two dinosaurs decided not to eat the bugs because they were full.,1,cond4
