class,mean,CI1,CI2,N,label
color,0.19565217391304349,0.086956521739130432,0.30434782608695654,46,"child-directed, 4, not binned"
age,0.38095238095238093,0.14285714285714285,0.5714285714285714,21,"child-directed, 4, not binned"
material,0.0,0.0,0.0,2,"child-directed, 4, not binned"
value,0.75,0.64772727272727271,0.82954545454545459,88,"child-directed, 4, not binned"
shape,0.0,0.0,0.0,2,"child-directed, 4, not binned"
dimension,0.42990654205607476,0.35981308411214952,0.49065420560747663,214,"child-directed, 4, not binned"
physical,0.20000000000000001,0.0,0.40000000000000002,5,"child-directed, 4, not binned"
color,0.20000000000000001,0.040000000000000001,0.35999999999999999,25,"child-produced, 4, not binned"
age,0.13636363636363635,0.0,0.27272727272727271,22,"child-produced, 4, not binned"
value,0.68292682926829273,0.48780487804878048,0.80487804878048785,41,"child-produced, 4, not binned"
shape,0.0,0.0,0.0,1,"child-produced, 4, not binned"
dimension,0.58260869565217388,0.47826086956521741,0.66086956521739126,115,"child-produced, 4, not binned"
physical,0.0,0.0,0.0,2,"child-produced, 4, not binned"
dimension-age-physical,0.42083333333333334,0.35416666666666669,0.47916666666666669,240,"child-directed, 4, binned"
value,0.75,0.63636363636363635,0.81818181818181823,88,"child-directed, 4, binned"
shape-color-material,0.17999999999999999,0.080000000000000002,0.28000000000000003,50,"child-directed, 4, binned"
dimension-age-physical,0.50359712230215825,0.41726618705035973,0.58273381294964033,139,"child-produced, 4, binned"
value,0.68292682926829273,0.51219512195121952,0.78048780487804881,41,"child-produced, 4, binned"
shape-color-material,0.19230769230769232,0.038461538461538464,0.34615384615384615,26,"child-produced, 4, binned"
