adj,freq,sem_class,p/d,,,
ancient,1,age,child-directed,,"'ancient',","'age',"
dead,2,age,child-produced,,"'dead',","'age',"
fresh,2,age,child-produced,,"'fresh',","'age',"
new,21,age,child-produced,,"'new',","'age',"
old,50,age,child-produced,,"'old',","'age',"
ole,1,age,child-produced,,"'ole',","'age',"
rotten,1,age,child-produced,,"'rotten',","'age',"
wobble,1,age,child-directed,,"'wobble',","'age',"
young,13,age,child-directed,,"'young',","'age',"
black,6,color,child-produced,,"'black',","'color',"
blue,26,color,child-produced,,"'blue',","'color',"
brown,61,color,child-directed,,"'brown',","'color',"
gold,3,color,child-directed,,"'gold',","'color',"
golden,1,color,child-directed,,"'golden',","'color',"
gray,2,color,child-produced,,"'gray',","'color',"
green,22,color,child-produced,,"'green',","'color',"
grey,1,color,child-produced,,"'grey',","'color',"
orange,4,color,child-produced,,"'orange',","'color',"
pink,8,color,child-produced,,"'pink',","'color',"
purple,2,color,child-produced,,"'purple',","'color',"
red,43,color,child-produced,,"'red',","'color',"
silver,2,color,child-directed,,"'silver',","'color',"
tawny,1,color,child-directed,,"'tawny',","'color',"
white,28,color,child-produced,,"'white',","'color',"
yellow,18,color,child-produced,,"'yellow',","'color',"
big,300,dimension,child-produced,,"'big',","'dimension',"
bitsy,3,dimension,child-produced,,"'bitsy',","'dimension',"
chubby,1,dimension,child-directed,,"'chubby',","'dimension',"
crust,2,dimension,child-directed,,"'crust',","'dimension',"
eensie,13,dimension,child-produced,,"'eensie',","'dimension',"
fat,16,dimension,child-produced,,"'fat',","'dimension',"
flat,2,dimension,child-directed,,"'flat',","'dimension',"
fleece,1,dimension,child-directed,,"'fleece',","'dimension',"
huge,16,dimension,child-produced,,"'huge',","'dimension',"
itsy,3,dimension,child-produced,,"'itsy',","'dimension',"
itty,1,dimension,child-directed,,"'itty',","'dimension',"
large,3,dimension,child-produced,,"'large',","'dimension',"
little,200,dimension,child-produced,,"'little',","'dimension',"
long,17,dimension,child-produced,,"'long',","'dimension',"
podgy,1,dimension,child-directed,,"'podgy',","'dimension',"
puff,1,dimension,child-directed,,"'puff',","'dimension',"
short,1,dimension,child-produced,,"'short',","'dimension',"
small,8,dimension,child-produced,,"'small',","'dimension',"
spin,1,dimension,child-directed,,"'spin',","'dimension',"
tall,5,dimension,child-produced,,"'tall',","'dimension',"
teeny,14,dimension,child-produced,,"'teeny',","'dimension',"
thick,3,dimension,child-directed,,"'thick',","'dimension',"
thin,1,dimension,child-produced,,"'thin',","'dimension',"
tiny,70,dimension,child-produced,,"'tiny',","'dimension',"
tubby,1,dimension,child-directed,,"'tubby',","'dimension',"
wee,8,dimension,child-produced,,"'wee',","'dimension',"
weensie,13,dimension,child-produced,,"'weensie',","'dimension',"
weeny,6,dimension,child-produced,,"'weeny',","'dimension',"
wide,1,dimension,child-produced,,"'wide',","'dimension',"
plastic,5,material,child-directed,,"'plastic',","'material',"
wooden,6,material,child-produced,,"'wooden',","'material',"
wool,4,material,child-directed,,"'wool',","'material',"
damp,1,physical,child-directed,,"'damp',","'physical',"
dry,1,physical,child-produced,,"'dry',","'physical',"
hard,3,physical,child-produced,,"'hard',","'physical',"
right,1,physical,child-produced,,"'right',","'physical',"
rough,2,physical,child-directed,,"'rough',","'physical',"
sharp,5,physical,child-produced,,"'sharp',","'physical',"
smooth,1,physical,child-directed,,"'smooth',","'physical',"
soft,1,physical,child-produced,,"'soft',","'physical',"
wet,4,physical,child-produced,,"'wet',","'physical',"
misshapen,1,shape,child-directed,,"'misshapen',","'shape',"
oval,2,shape,child-directed,,"'oval',","'shape',"
round,7,shape,child-produced,,"'round',","'shape',"
square,2,shape,child-directed,,"'square',","'shape',"
alright,3,value,child-directed,,"'alright',","'value',"
awful,1,value,child-produced,,"'awful',","'value',"
bad,39,value,child-produced,,"'bad',","'value',"
brilliant,1,value,child-directed,,"'brilliant',","'value',"
crummy,1,value,child-produced,,"'crummy',","'value',"
good,16,value,child-produced,,"'good',","'value',"
grand,2,value,child-directed,,"'grand',","'value',"
great,14,value,child-produced,,"'great',","'value',"
horrible,2,value,child-directed,,"'horrible',","'value',"
horrid,1,value,child-produced,,"'horrid',","'value',"
nasty,1,value,child-produced,,"'nasty',","'value',"
nice,59,value,child-produced,,"'nice',","'value',"
okay,2,value,child-directed,,"'okay',","'value',"
ordinary,1,value,child-produced,,"'ordinary',","'value',"
poor,30,value,child-produced,,"'poor',","'value',"
thirst,1,value,child-directed,,"'thirst',","'value',"
