word,av.distance,overlap,age,child p or d,tokens,semantic class
cute,1,0,2,directed,10,other
gold,0,1,2,directed,1,color
sleepy,0,0,2,directed,3,other
young,0,1,2,directed,12,age
yellow,0.166666667,1,2,directed,24,color
bright,0.8,0,2,directed,5,other
own,0.666666667,0,2,directed,6,other
same,1,0,2,directed,3,other
skin,1,0,2,directed,1,other
rough,0,0,2,directed,1,physical
jolly,1,0,2,directed,1,other
nasty,0.5,0,2,directed,4,value
wriggle,0,0,2,directed,1,other
slop,0,0,2,directed,1,other
just,0.666666667,0,2,directed,3,other
wee,0.375,0,2,directed,8,dimension
rotten,0,0,2,directed,3,age
black,0.076923077,1,2,directed,13,color
pretty,0.95,0,2,directed,20,other
orange,0.25,0,2,directed,8,color
east,0,0,2,directed,2,other
smart,0.5,0,2,directed,6,other
real,0.923076923,0,2,directed,13,other
brown,0.104166667,0,2,directed,48,color
good,0.545454545,0,2,directed,22,value
waterproof,0,0,2,directed,1,other
big,0.79757085,0,2,directed,247,dimension
dutch,0,0,2,directed,2,other
fat,0,0,2,directed,15,dimension
albino,1,0,2,directed,1,other
awful,1,0,2,directed,1,value
crisp,1,0,2,directed,1,other
bit,0,0,2,directed,4,other
handy,1,0,2,directed,1,other
cool,1,0,2,directed,1,other
huff,1,0,2,directed,1,other
fluff,0,0,2,directed,10,other
looney,0,0,2,directed,1,other
grey,0,0,2,directed,1,color
wooden,0,1,2,directed,5,material
bulge,0,0,2,directed,1,other
bad,0.066666667,0,2,directed,15,value
fuzz,0,0,2,directed,4,other
small,0.833333333,0,2,directed,6,dimension
soft,0.2,0,2,directed,5,physical
round,0,0,2,directed,5,shape
mean,0.666666667,0,2,directed,3,other
heavy,0,0,2,directed,2,other
old,0.111111111,1,2,directed,27,age
ole,1,0,2,directed,3,age
hard,0,0,2,directed,1,physical
back,0,0,2,directed,1,other
horn,0,0,2,directed,1,other
hair,0,0,2,directed,1,other
noise,0.5,0,2,directed,2,other
dear,1,0,2,directed,1,other
blue,0,1,2,directed,21,color
eensie,1,0,2,directed,1,dimension
horrid,1,0,2,directed,1,value
purple,1,1,2,directed,2,color
sun,0,0,2,directed,3,other
thirst,1,0,2,directed,1,other
loll,0,0,2,directed,2,other
teeny,0.333333333,0,2,directed,3,dimension
sparkle,0,0,2,directed,1,other
enough,0,0,2,directed,1,other
horrible,1,0,2,directed,1,value
podgy,0,0,2,directed,1,dimension
new,0.285714286,1,2,directed,28,age
red,0.03125,1,2,directed,64,color
crunch,0,0,2,directed,2,other
grease,1,0,2,directed,2,other
dirt,0.5,0,2,directed,2,other
even,1,0,2,directed,1,other
french,0,0,2,directed,2,other
wild,0,0,2,directed,1,other
strong,0,0,2,directed,18,other
laze,1,0,2,directed,1,other
shine,0.333333333,0,2,directed,3,other
great,1,0,2,directed,22,value
last,0,1,2,directed,2,other
whine,1,0,2,directed,1,other
yum,1,0,2,directed,1,other
itty,1,0,2,directed,1,dimension
puff,0,0,2,directed,1,other
loud,0,0,2,directed,1,other
scare,0,0,2,directed,1,other
first,1,0,2,directed,4,other
trim,0,0,2,directed,1,other
naughty,1,0,2,directed,2,other
love,0.888888889,0,2,directed,9,other
point,0,0,2,directed,1,other
weensie,0,0,2,directed,1,dimension
hollow,0,0,2,directed,1,other
pink,0,0,2,directed,4,color
long,0,1,2,directed,13,dimension
delicious,0,0,2,directed,1,other
fake,0,0,2,directed,1,other
chubby,1,0,2,directed,1,dimension
thick,0,1,2,directed,1,dimension
open,0,1,2,directed,1,other
little,0.470588235,0,2,directed,221,dimension
faint,1,0,2,directed,1,other
tiny,0.125,0,2,directed,32,dimension
plastic,0,0,2,directed,2,material
white,0.25,1,2,directed,20,color
bubble,0,0,2,directed,1,other
empty,0,0,2,directed,1,other
happy,1,0,2,directed,12,other
clever,1,0,2,directed,8,other
brand,1,0,2,directed,5,other
sore,0,0,2,directed,1,other
warm,0.222222222,0,2,directed,9,other
instant,1,0,2,directed,1,other
wide,1,0,2,directed,1,dimension
wool,0,0,2,directed,2,material
pretend,0,0,2,directed,1,other
flip,1,0,2,directed,2,other
trick,0,0,2,directed,1,other
silly,0.333333333,0,2,directed,3,other
fun,1,0,2,directed,10,other
loop,1,0,2,directed,1,other
beautiful,1,0,2,directed,20,other
flop,0,0,2,directed,3,other
dandy,0,0,2,directed,1,other
taste,1,0,2,directed,1,other
deep,0,0,2,directed,1,other
sad,0,1,2,directed,2,other
gentle,1,0,2,directed,1,other
fashioned,0,0,2,directed,1,other
sharp,0.333333333,0,2,directed,6,physical
lamb,0,0,2,directed,1,other
huge,0,0,2,directed,4,dimension
different,0.666666667,1,2,directed,3,other
itsy,1,0,2,directed,2,dimension
cross,0,0,2,directed,14,other
snot,0,0,2,directed,1,other
